pokemon,format,won,lost,moves
Absol,[Gen 3] OU,185,447,"['Aerial Ace', 'Baton Pass', 'Bite', 'Blizzard', 'Body Slam', 'Calm Mind', 'Counter', 'Curse', 'Double-Edge', 'Endure', 'Facade', 'Feint Attack', 'Fire Blast', 'Flamethrower', 'Frustration', 'Fury Cutter', 'Future Sight', 'Hidden Power', 'Hyper Beam', 'Ice Beam', 'Iron Tail', 'Magic Coat', 'Perish Song', 'Protect', 'Psych Up', 'Quick Attack', 'Rain Dance', 'Razor Wind', 'Rest', 'Return', 'Rock Slide', 'Rock Smash', 'Shadow Ball', 'Slash', 'Snatch', 'Spite', 'Struggle', 'Substitute', 'Sunny Day', 'Swagger', 'Swift', 'Swords Dance', 'Taunt', 'Thief', 'Thunder', 'Thunder Wave', 'Thunderbolt', 'Torment', 'Toxic', 'Wish']"
Absol,[Gen 3] UBERS,15,36,"['Aerial Ace', 'Baton Pass', 'Bite', 'Blizzard', 'Body Slam', 'Double-Edge', 'Facade', 'Fire Blast', 'Flamethrower', 'Frustration', 'Hidden Power', 'Hyper Beam', 'Ice Beam', 'Perish Song', 'Quick Attack', 'Shadow Ball', 'Slash', 'Substitute', 'Swords Dance', 'Taunt', 'Thunder Wave', 'Thunderbolt', 'Water Pulse']"
Absol,[Gen 3] UU,18,49,"['Baton Pass', 'Bite', 'Blizzard', 'Body Slam', 'Calm Mind', 'Counter', 'Curse', 'Double-Edge', 'Fire Blast', 'Flamethrower', 'Hidden Power', 'Hyper Beam', 'Ice Beam', 'Return', 'Shadow Ball', 'Slash', 'Substitute', 'Swords Dance', 'Taunt', 'Thunderbolt', 'Toxic']"
Absol,[Gen 4] NU,2,2,['Night Slash']
Absol,[Gen 4] OU,240,407,"['Aerial Ace', 'Attract', 'Baton Pass', 'Bite', 'Blizzard', 'Body Slam', 'Bounce', 'Calm Mind', 'Dark Pulse', 'Detect', 'Double-Edge', 'Dynamic Punch', 'Fire Blast', 'Flamethrower', 'Frustration', 'Giga Impact', 'Ice Beam', 'Knock Off', 'Magic Coat', 'Me First', 'Mean Look', 'Megahorn', 'Mirror Coat', 'Night Slash', 'Perish Song', 'Protect', 'Psycho Cut', 'Pursuit', 'Quick Attack', 'Rock Slide', 'Shadow Ball', 'Shadow Claw', 'Shock Wave', 'Slash', 'Snatch', 'Stone Edge', 'Substitute', 'Sucker Punch', 'Superpower', 'Swords Dance', 'Taunt', 'Thunder', 'Thunder Wave', 'Thunderbolt', 'Toxic', 'Will-O-Wisp', 'Wish', 'X-Scissor', 'Zen Headbutt']"
Absol,[Gen 4] UBERS,34,59,"['Baton Pass', 'Bite', 'Calm Mind', 'Charge Beam', 'Detect', 'Giga Impact', 'Ice Beam', 'Megahorn', 'Night Slash', 'Pursuit', 'Quick Attack', 'Return', 'Rock Slide', 'Stone Edge', 'Substitute', 'Sucker Punch', 'Superpower', 'Swords Dance', 'Taunt']"
Absol,[Gen 4] UU,209,271,"['Aerial Ace', 'Baton Pass', 'Bounce', 'Calm Mind', 'Counter', 'Dark Pulse', 'Double-Edge', 'Facade', 'Fire Blast', 'Flamethrower', 'Ice Beam', 'Iron Tail', 'Knock Off', 'Mean Look', 'Megahorn', 'Night Slash', 'Perish Song', 'Protect', 'Psycho Cut', 'Pursuit', 'Return', 'Shadow Claw', 'Stone Edge', 'Substitute', 'Sucker Punch', 'Superpower', 'Swords Dance', 'Taunt', 'Thunder Wave', 'Zen Headbutt']"
Aerodactyl,[Gen 1] NU,333,421,"['Agility', 'Double-Edge', 'Dragon Rage', 'Drill Peck', 'Fire Blast', 'Hyper Beam', 'Reflect', 'Rest', 'Sky Attack', 'Substitute', 'Supersonic', 'Toxic', 'Wing Attack']"
Aerodactyl,[Gen 1] OU,413,858,"['Agility', 'Bide', 'Bite', 'Body Slam', 'Double-Edge', 'Dragon Rage', 'Drill Peck', 'Earthquake', 'Explosion', 'Fire Blast', 'Fly', 'Hyper Beam', 'Hypnosis', 'Mimic', 'Mirror Move', 'Rage', 'Razor Leaf', 'Razor Wind', 'Recover', 'Reflect', 'Rest', 'Rock Slide', 'Seismic Toss', 'Sky Attack', 'Slash', 'Substitute', 'Supersonic', 'Swift', 'Swords Dance', 'Take Down', 'Thunder', 'Toxic', 'Whirlwind', 'Wing Attack']"
Aerodactyl,[Gen 1] UBERS,53,94,"['Agility', 'Bite', 'Double-Edge', 'Dragon Rage', 'Drill Peck', 'Earthquake', 'Fire Blast', 'Guillotine', 'High Jump Kick', 'Hyper Beam', 'Mimic', 'Quick Attack', 'Reflect', 'Rest', 'Rock Slide', 'Seismic Toss', 'Sky Attack', 'Spore', 'Substitute', 'Supersonic', 'Swift', 'Swords Dance', 'Thunder Wave', 'Toxic', 'Whirlwind', 'Wing Attack']"
Aerodactyl,[Gen 1] UU,91,125,"['Agility', 'Bide', 'Bite', 'Double-Edge', 'Dragon Rage', 'Fire Blast', 'Hyper Beam', 'Reflect', 'Rest', 'Sky Attack', 'Substitute', 'Supersonic', 'Take Down', 'Toxic', 'Whirlwind', 'Wing Attack']"
Aerodactyl,[Gen 2] OU,480,601,"['Aeroblast', 'Agility', 'Ancient Power', 'Bite', 'Curse', 'Detect', 'Double-Edge', 'Dragon Breath', 'Dragon Rage', 'Earthquake', 'Fire Blast', 'Flamethrower', 'Fly', 'Frustration', 'Headbutt', 'Hidden Power', 'Hyper Beam', 'Iron Tail', 'Mimic', 'Protect', 'Pursuit', 'Reflect', 'Rest', 'Return', 'Roar', 'Rock Slide', 'Rock Smash', 'Rock Throw', 'Sandstorm', 'Sky Attack', 'Sleep Talk', 'Steel Wing', 'Substitute', 'Supersonic', 'Swagger', 'Swift', 'Swords Dance', 'Toxic', 'Whirlwind', 'Wing Attack']"
Aerodactyl,[Gen 2] UBERS,24,21,"['Agility', 'Ancient Power', 'Attract', 'Curse', 'Double-Edge', 'Earthquake', 'Encore', 'Explosion', 'Extreme Speed', 'Hidden Power', 'High Jump Kick', 'Horn Drill', 'Hyper Beam', 'Iron Tail', 'Megahorn', 'Pursuit', 'Rest', 'Return', 'Rock Slide', 'Rock Throw', 'Seismic Toss', 'Shadow Ball', 'Sky Attack', 'Spore', 'Substitute', 'Swagger', 'Swords Dance', 'Toxic', 'Whirlwind', 'Wing Attack']"
Aerodactyl,[Gen 2] UU,75,70,"['Ancient Power', 'Curse', 'Double-Edge', 'Earthquake', 'Fire Blast', 'Hidden Power', 'Protect', 'Reflect', 'Rest', 'Roar', 'Sandstorm', 'Sleep Talk', 'Substitute', 'Swagger', 'Toxic', 'Whirlwind', 'Wing Attack']"
Aerodactyl,[Gen 3] OU,24626,28460,"['Aerial Ace', 'Aeroblast', 'Agility', 'Ancient Power', 'Attract', 'Bite', 'Brave Bird', 'Curse', 'Double-Edge', 'Dragon Breath', 'Dragon Claw', 'Drill Peck', 'Earthquake', 'Endure', 'Facade', 'Fire Blast', 'Flamethrower', 'Fly', 'Frustration', 'Hidden Power', 'Hyper Beam', 'Iron Tail', 'Mimic', 'Protect', 'Pursuit', 'Rain Dance', 'Rest', 'Return', 'Roar', 'Rock Slide', 'Rock Tomb', 'Sandstorm', 'Scary Face', 'Secret Power', 'Sky Attack', 'Sleep Talk', 'Steel Wing', 'Strength', 'Struggle', 'Substitute', 'Sunny Day', 'Supersonic', 'Swagger', 'Take Down', 'Taunt', 'Thief', 'Torment', 'Toxic', 'Whirlwind', 'Wing Attack']"
Aerodactyl,[Gen 3] UBERS,262,270,"['Aerial Ace', 'Ancient Power', 'Bite', 'Curse', 'Double-Edge', 'Dragon Claw', 'Earthquake', 'Facade', 'Fire Blast', 'Flamethrower', 'Fly', 'Frustration', 'Hidden Power', 'Hyper Beam', 'Protect', 'Pursuit', 'Return', 'Roar', 'Rock Slide', 'Sandstorm', 'Sky Attack', 'Substitute', 'Supersonic', 'Swagger', 'Take Down', 'Taunt', 'Torment', 'Toxic', 'Wing Attack']"
Aerodactyl,[Gen 4] OU,9354,10353,"['Aerial Ace', 'Agility', 'Air Cutter', 'Ancient Power', 'Aqua Tail', 'Brave Bird', 'Charge Beam', 'Crunch', 'Curse', 'Defog', 'Double-Edge', 'Dragon Breath', 'Dragon Claw', 'Dragon Pulse', 'Earth Power', 'Earthquake', 'Fire Blast', 'Fire Fang', 'Flamethrower', 'Fly', 'Giga Impact', 'Head Smash', 'Heat Wave', 'Hidden Power', 'Hyper Beam', 'Ice Fang', 'Iron Head', 'Iron Tail', 'Mimic', 'Payback', 'Protect', 'Pursuit', 'Rain Dance', 'Rest', 'Roar', 'Rock Polish', 'Rock Slide', 'Rock Smash', 'Rock Tomb', 'Roost', 'Sky Attack', 'Sleep Talk', 'Stealth Rock', 'Steel Wing', 'Stone Edge', 'Struggle', 'Substitute', 'Sunny Day', 'Swagger', 'Tailwind', 'Take Down', 'Taunt', 'Thief', 'Thunder Fang', 'Torment', 'Toxic', 'Whirlwind', 'Wing Attack']"
Aerodactyl,[Gen 4] UBERS,172,222,"['Aerial Ace', 'Ancient Power', 'Aqua Tail', 'Brave Bird', 'Crunch', 'Double-Edge', 'Dragon Claw', 'Dragon Pulse', 'Earthquake', 'Fire Blast', 'Fire Fang', 'Flamethrower', 'Fly', 'Heat Wave', 'Ice Fang', 'Iron Head', 'Iron Tail', 'Protect', 'Pursuit', 'Return', 'Roar', 'Rock Slide', 'Roost', 'Sky Attack', 'Stealth Rock', 'Steel Wing', 'Stone Edge', 'Substitute', 'Tailwind', 'Taunt', 'Thunder Fang', 'Whirlwind', 'Wing Attack']"
Aerodactyl,[gen 3] OU,11,19,[]
Aerodactyl,[gen 4] OU,1,1,[]
Aerodactyl-Mega,[Gen 1] OU,1,0,[]
Aerodactyl-Mega,[Gen 1] UBERS,1,2,[]
Aerodactyl-Mega,[Gen 3] OU,2,1,[]
Aggron,[Gen 3] OU,654,1186,"['Aerial Ace', 'Attract', 'Blizzard', 'Body Slam', 'Brick Break', 'Counter', 'Defense Curl', 'Dig', 'Double-Edge', 'Dragon Claw', 'Dynamic Punch', 'Earthquake', 'Endeavor', 'Endure', 'Fire Blast', 'Fire Punch', 'Flamethrower', 'Focus Punch', 'Fury Cutter', 'Hidden Power', 'Hyper Beam', 'Ice Beam', 'Ice Punch', 'Iron Defense', 'Iron Tail', 'Mega Kick', 'Metal Claw', 'Metal Sound', 'Mimic', 'Mud-Slap', 'Protect', 'Rain Dance', 'Rest', 'Roar', 'Rock Slide', 'Rock Tomb', 'Rollout', 'Sandstorm', 'Secret Power', 'Seismic Toss', 'Sleep Talk', 'Solar Beam', 'Strength', 'Struggle', 'Substitute', 'Surf', 'Take Down', 'Taunt', 'Thunder', 'Thunder Punch', 'Thunder Wave', 'Thunderbolt', 'Toxic', 'Will-O-Wisp']"
Aggron,[Gen 3] UBERS,73,100,"['Blizzard', 'Body Slam', 'Brick Break', 'Counter', 'Double-Edge', 'Dragon Claw', 'Earthquake', 'Flamethrower', 'Focus Punch', 'Headbutt', 'Hidden Power', 'Ice Beam', 'Ice Punch', 'Iron Defense', 'Iron Tail', 'Metal Claw', 'Metal Sound', 'Protect', 'Rest', 'Roar', 'Rock Slide', 'Rock Tomb', 'Sandstorm', 'Seismic Toss', 'Sleep Talk', 'Substitute', 'Taunt', 'Thunder', 'Thunder Wave', 'Toxic']"
Aggron,[Gen 3] UU,141,189,"['Blizzard', 'Body Slam', 'Brick Break', 'Counter', 'Double-Edge', 'Dragon Claw', 'Dynamic Punch', 'Earthquake', 'Endeavor', 'Fire Blast', 'Fire Punch', 'Focus Punch', 'Hidden Power', 'Ice Beam', 'Ice Punch', 'Iron Defense', 'Iron Tail', 'Mega Kick', 'Metal Claw', 'Protect', 'Rest', 'Roar', 'Rock Slide', 'Sandstorm', 'Substitute', 'Taunt', 'Thunder', 'Thunder Wave', 'Toxic']"
Aggron,[Gen 4] NU,5,8,"['Earthquake', 'Focus Punch', 'Head Smash', 'Low Kick', 'Magnet Rise', 'Rock Polish', 'Substitute']"
Aggron,[Gen 4] OU,585,928,"['Ancient Power', 'Aqua Tail', 'Avalanche', 'Blizzard', 'Block', 'Brick Break', 'Counter', 'Curse', 'Dark Pulse', 'Defense Curl', 'Dig', 'Double-Edge', 'Dragon Claw', 'Dragon Pulse', 'Dynamic Punch', 'Earth Power', 'Earthquake', 'Endeavor', 'Endure', 'Facade', 'Fire Blast', 'Fire Punch', 'Flamethrower', 'Flash Cannon', 'Focus Blast', 'Focus Punch', 'Head Smash', 'Ice Beam', 'Ice Punch', 'Iron Defense', 'Iron Head', 'Iron Tail', 'Low Kick', 'Magnet Rise', 'Mega Punch', 'Metal Burst', 'Metal Claw', 'Metal Sound', 'Outrage', 'Payback', 'Protect', 'Rain Dance', 'Rest', 'Return', 'Roar', 'Rock Polish', 'Rock Slide', 'Rollout', 'Sandstorm', 'Seismic Toss', 'Shadow Claw', 'Sleep Talk', 'Stealth Rock', 'Stone Edge', 'Struggle', 'Substitute', 'Superpower', 'Surf', 'Take Down', 'Taunt', 'Thunder', 'Thunder Punch', 'Thunder Wave', 'Thunderbolt', 'Toxic', 'Water Pulse']"
Aggron,[Gen 4] UBERS,75,141,"['Aqua Tail', 'Avalanche', 'Blizzard', 'Counter', 'Curse', 'Double-Edge', 'Dragon Claw', 'Earthquake', 'Fire Blast', 'Fire Punch', 'Flash Cannon', 'Focus Punch', 'Head Smash', 'Ice Beam', 'Ice Punch', 'Iron Defense', 'Iron Head', 'Iron Tail', 'Metal Burst', 'Metal Claw', 'Metal Sound', 'Outrage', 'Protect', 'Roar', 'Rock Polish', 'Rock Slide', 'Seismic Toss', 'Stealth Rock', 'Stone Edge', 'Substitute', 'Taunt', 'Thunder Punch', 'Thunder Wave']"
Aggron,[Gen 4] UU,293,380,"['Aqua Tail', 'Avalanche', 'Body Slam', 'Curse', 'Double-Edge', 'Dragon Claw', 'Dragon Pulse', 'Earthquake', 'Endeavor', 'Fire Punch', 'Flash Cannon', 'Focus Punch', 'Head Smash', 'Ice Punch', 'Iron Head', 'Low Kick', 'Magnet Rise', 'Protect', 'Roar', 'Rock Polish', 'Rock Slide', 'Sleep Talk', 'Stealth Rock', 'Stone Edge', 'Substitute', 'Superpower', 'Thunder Punch', 'Thunder Wave', 'Toxic']"
Aggron,[gen 3] OU,2,1,[]
Aipom,[Gen 2] NU,14,18,"['Agility', 'Baton Pass', 'Counter', 'Curse', 'Protect', 'Rest', 'Return', 'Sand Attack', 'Sleep Talk', 'Spite', 'Thunderbolt']"
Aipom,[Gen 2] OU,20,51,"['Agility', 'Baton Pass', 'Counter', 'Curse', 'Detect', 'Double Slap', 'Dynamic Punch', 'Fire Punch', 'Fury Swipes', 'Headbutt', 'Hidden Power', 'Ice Punch', 'Iron Tail', 'Mud-Slap', 'Protect', 'Pursuit', 'Return', 'Rock Smash', 'Scratch', 'Screech', 'Shadow Ball', 'Swagger', 'Swift', 'Thief', 'Thunder Punch', 'Thunderbolt', 'Toxic']"
Aipom,[Gen 2] UBERS,2,4,"['Agility', 'Baton Pass', 'Beat Up', 'Pursuit', 'Screech', 'Shadow Ball', 'Strength', 'Swagger', 'Thunder Punch']"
Aipom,[Gen 2] UU,3,4,"['Agility', 'Baton Pass', 'Curse', 'Hidden Power', 'Protect', 'Rest', 'Return', 'Toxic']"
Aipom,[Gen 3] NU,8,12,"['Agility', 'Baton Pass', 'Body Slam', 'Brick Break', 'Double-Edge', 'Facade', 'Hidden Power', 'Return', 'Shadow Ball', 'Substitute', 'Thunder Wave']"
Aipom,[Gen 3] OU,146,199,"['Agility', 'Astonish', 'Baton Pass', 'Beat Up', 'Belly Drum', 'Body Slam', 'Brick Break', 'Counter', 'Defense Curl', 'Double Slap', 'Double-Edge', 'Endure', 'Focus Punch', 'Frustration', 'Fury Swipes', 'Hidden Power', 'Ice Punch', 'Iron Tail', 'Mega Kick', 'Mega Punch', 'Mud-Slap', 'Protect', 'Rain Dance', 'Rest', 'Return', 'Sand Attack', 'Screech', 'Seismic Toss', 'Shadow Ball', 'Sleep Talk', 'Snatch', 'Substitute', 'Sunny Day', 'Swift', 'Taunt', 'Thief', 'Thunder', 'Thunder Punch', 'Thunder Wave', 'Toxic']"
Aipom,[Gen 3] UBERS,1,3,"['Baton Pass', 'Brick Break', 'Double Slap', 'Double-Edge']"
Aipom,[Gen 3] UU,3,4,"['Beat Up', 'Brick Break', 'Counter', 'Iron Tail', 'Shadow Ball', 'Thunder']"
Aipom,[Gen 4] NU,0,1,"['Baton Pass', 'Fake Out']"
Aipom,[Gen 4] OU,3,21,"['Agility', 'Astonish', 'Baton Pass', 'Body Slam', 'Bounce', 'Brick Break', 'Fake Out', 'Focus Punch', 'Ice Punch', 'Knock Off', 'Last Resort', 'Nasty Plot', 'Protect', 'Rest', 'Return', 'Thunder Wave', 'Thunderbolt', 'U-Turn']"
Aipom,[Gen 4] UBERS,19,11,"['Brick Break', 'Double Hit', 'Fake Out', 'Fire Punch', 'Fling', 'Focus Punch', 'Fury Swipes', 'Ice Punch', 'Return', 'Sand Attack', 'Swift', 'U-Turn']"
Aipom,[Gen 4] UU,2,0,"['Seed Bomb', 'Swift']"
Alakazam,[Gen 1] OU,36932,37895,"['Absorb', 'Acid', 'Acid Armor', 'Agility', 'Amnesia', 'Aurora Beam', 'Barrage', 'Barrier', 'Bide', 'Bind', 'Bite', 'Blizzard', 'Body Slam', 'Bone Club', 'Bonemerang', 'Bubble', 'Bubble Beam', 'Clamp', 'Comet Punch', 'Confuse Ray', 'Confusion', 'Constrict', 'Conversion', 'Counter', 'Crabhammer', 'Cut', 'Defense Curl', 'Dig', 'Disable', 'Dizzy Punch', 'Double Slap', 'Double Team', 'Double-Edge', 'Dragon Rage', 'Dream Eater', 'Drill Peck', 'Earthquake', 'Egg Bomb', 'Ember', 'Explosion', 'Fire Blast', 'Fire Punch', 'Fire Spin', 'Fissure', 'Flamethrower', 'Flash', 'Fly', 'Focus Energy', 'Fury Attack', 'Fury Swipes', 'Glare', 'Growl', 'Growth', 'Guillotine', 'Gust', 'Harden', 'Haze', 'Headbutt', 'High Jump Kick', 'Horn Attack', 'Horn Drill', 'Hydro Pump', 'Hyper Beam', 'Hyper Fang', 'Hypnosis', 'Ice Beam', 'Ice Punch', 'Jump Kick', 'Karate Chop', 'Kinesis', 'Leech Life', 'Leech Seed', 'Leer', 'Lick', 'Light Screen', 'Lovely Kiss', 'Low Kick', 'Meditate', 'Mega Drain', 'Mega Kick', 'Mega Punch', 'Metronome', 'Mimic', 'Minimize', 'Mirror Move', 'Mist', 'Night Shade', 'Pay Day', 'Peck', 'Petal Dance', 'Pin Missile', 'Poison Gas', 'Poison Powder', 'Poison Sting', 'Pound', 'Psybeam', 'Psychic', 'Psywave', 'Quick Attack', 'Rage', 'Razor Leaf', 'Razor Wind', 'Recover', 'Reflect', 'Rest', 'Roar', 'Rock Slide', 'Rock Throw', 'Rolling Kick', 'Sand Attack', 'Scratch', 'Screech', 'Seismic Toss', 'Self-Destruct', 'Sharpen', 'Sing', 'Skull Bash', 'Sky Attack', 'Slam', 'Slash', 'Sleep Powder', 'Sludge', 'Smog', 'Smokescreen', 'Soft-Boiled', 'Solar Beam', 'Sonic Boom', 'Spike Cannon', 'Splash', 'Spore', 'Stomp', 'Strength', 'String Shot', 'Struggle', 'Stun Spore', 'Submission', 'Substitute', 'Super Fang', 'Supersonic', 'Surf', 'Swift', 'Swords Dance', 'Tackle', 'Tail Glow', 'Tail Whip', 'Take Down', 'Teleport', 'Thrash', 'Thunder', 'Thunder Punch', 'Thunder Shock', 'Thunder Wave', 'Thunderbolt', 'Toxic', 'Transform', 'Tri Attack', 'Twineedle', 'Vice Grip', 'Vine Whip', 'Vise Grip', 'Water Gun', 'Waterfall', 'Whirlwind', 'Wing Attack', 'Withdraw', 'Wrap']"
Alakazam,[Gen 1] UBERS,337,425,"['Absorb', 'Acid Armor', 'Amnesia', 'Aurora Beam', 'Barrier', 'Bind', 'Blizzard', 'Body Slam', 'Bonemerang', 'Bubble', 'Confuse Ray', 'Confusion', 'Conversion', 'Counter', 'Crabhammer', 'Cut', 'Defense Curl', 'Disable', 'Double Kick', 'Double Slap', 'Double-Edge', 'Drill Peck', 'Earthquake', 'Egg Bomb', 'Fire Blast', 'Flamethrower', 'Flash', 'Glare', 'Guillotine', 'Harden', 'Headbutt', 'Horn Attack', 'Hydro Pump', 'Hyper Beam', 'Ice Beam', 'Jump Kick', 'Karate Chop', 'Kinesis', 'Leech Life', 'Mega Drain', 'Mega Kick', 'Mega Punch', 'Metronome', 'Mimic', 'Night Shade', 'Petal Dance', 'Pin Missile', 'Psybeam', 'Psychic', 'Psywave', 'Quick Attack', 'Rage', 'Razor Leaf', 'Razor Wind', 'Recover', 'Reflect', 'Rest', 'Rolling Kick', 'Sand Attack', 'Screech', 'Seismic Toss', 'Self-Destruct', 'Skull Bash', 'Slam', 'Slash', 'Sleep Powder', 'Sludge', 'Smog', 'Smokescreen', 'Soft-Boiled', 'Spike Cannon', 'Splash', 'Spore', 'Strength', 'Struggle', 'Submission', 'Substitute', 'Supersonic', 'Teleport', 'Thrash', 'Thunder Punch', 'Thunder Shock', 'Thunder Wave', 'Thunderbolt', 'Toxic', 'Transform', 'Tri Attack', 'Vine Whip', 'Vise Grip', 'Withdraw', 'Wrap']"
