pokemon,format,played,won,lost,moves,win_rate,usage,Pdex,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Abra,[Gen 2] OU,164,78,108,"[('Double-Edge', 1), ('Dynamic Punch', 1), ('Encore', 5), ('Fire Punch', 23), ('Hidden Power', 9), ('Ice Punch', 11), ('Light Screen', 2), ('Mega Kick', 1), ('Metronome', 1), ('Protect', 3), ('Psychic', 94), ('Rest', 3), ('Seismic Toss', 1), ('Shadow Ball', 2), ('Sleep Talk', 1), ('Substitute', 4), ('Teleport', 2), ('Thief', 10), ('Thunder Punch', 45), ('Thunder Wave', 85), ('Toxic', 2), ('Tri Attack', 1)]",41.935483870967744,0.38081969116451875,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
Abra,[Gen 2] UBERS,15,4,11,"[('Dynamic Punch', 1), ('Encore', 1), ('Fire Punch', 2), ('Hidden Power', 2), ('Protect', 1), ('Psychic', 7), ('Shadow Ball', 3), ('Substitute', 2), ('Thunder Punch', 4), ('Thunder Wave', 2), ('Toxic', 2)]",26.666666666666668,0.6170300287947347,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
Abra,[Gen 2] UU,9,5,6,"[('Fire Punch', 3), ('Hidden Power', 1), ('Ice Punch', 1), ('Psychic', 7), ('Submission', 1), ('Substitute', 2), ('Thunder Punch', 1), ('Thunder Wave', 3)]",45.45454545454545,0.44776119402985076,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
Abra,[Gen 3] NU,118,51,78,"[('Calm Mind', 27), ('Counter', 3), ('Encore', 1), ('Endure', 7), ('Fire Punch', 29), ('Hidden Power', 6), ('Ice Punch', 7), ('Knock Off', 1), ('Psychic', 77), ('Safeguard', 1), ('Substitute', 25), ('Thief', 1), ('Thunder Punch', 13), ('Thunder Wave', 3)]",39.53488372093023,6.448087431693988,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
Abra,[Gen 3] OU,275,137,162,"[('Body Slam', 1), ('Calm Mind', 45), ('Encore', 25), ('Endure', 30), ('Fire Punch', 57), ('Hidden Power', 33), ('Ice Punch', 29), ('Knock Off', 1), ('Light Screen', 2), ('Protect', 2), ('Psychic', 166), ('Reflect', 2), ('Shadow Ball', 1), ('Substitute', 54), ('Taunt', 2), ('Thief', 14), ('Thunder Punch', 39), ('Thunder Wave', 11), ('Toxic', 3)]",45.819397993311036,0.14197138889319105,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
Abra,[Gen 3] UBERS,16,9,7,"[('Attract', 1), ('Calm Mind', 2), ('Encore', 1), ('Endure', 1), ('Feint Attack', 1), ('Fire Punch', 1), ('Mega Kick', 1), ('Metronome', 1), ('Psychic', 4), ('Shadow Ball', 1), ('Substitute', 1), ('Taunt', 2), ('Teleport', 4), ('Thief', 2), ('Thunder Wave', 1)]",56.25,0.2150826724022046,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
Abra,[Gen 3] UU,13,8,9,"[('Encore', 1), ('Endure', 7), ('Fire Punch', 4), ('Hidden Power', 3), ('Psychic', 10), ('Thunder Punch', 5)]",47.05882352941176,0.508209538702111,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
Abra,[Gen 4] NU,10,5,5,"[('Energy Ball', 2), ('Hidden Power', 1), ('Psychic', 5), ('Signal Beam', 1), ('Teleport', 1), ('Trick', 1)]",50.0,0.4916420845624385,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
Abra,[Gen 4] OU,12,6,7,"[('Barrier', 1), ('Fire Punch', 2), ('Hidden Power', 2), ('Knock Off', 1), ('Magic Coat', 2), ('Psychic', 2), ('Seismic Toss', 1), ('Teleport', 2), ('Thunder Wave', 1), ('Trick Room', 1)]",46.15384615384615,0.007000390855156079,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
Abra,[Gen 4] UBERS,7,2,5,"[('Hidden Power', 2), ('Psychic', 1), ('Shadow Ball', 1), ('Teleport', 4)]",28.57142857142857,0.0511770726714432,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
Abra,[Gen 4] UU,3,1,2,"[('Grass Knot', 1), ('Psychic', 1), ('Taunt', 1), ('Thunder Wave', 1)]",33.33333333333333,0.04215259238443164,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
Abra,[Gen 9] OU,1,1,0,"[('Burning Bulwark', 1), ('Encore', 1), ('Leafage', 1), ('Metronome', 1)]",100.0,7.776618197597647e-05,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
Absol,[Gen 3] OU,633,186,451,"[('Aerial Ace', 30), ('Baton Pass', 78), ('Bite', 18), ('Blizzard', 11), ('Body Slam', 32), ('Calm Mind', 53), ('Counter', 4), ('Curse', 5), ('Double-Edge', 18), ('Endure', 2), ('Facade', 2), ('Feint Attack', 7), ('Fire Blast', 10), ('Flamethrower', 21), ('Frustration', 3), ('Fury Cutter', 1), ('Future Sight', 3), ('Hidden Power', 78), ('Hyper Beam', 6), ('Ice Beam', 35), ('Iron Tail', 7), ('Magic Coat', 3), ('Perish Song', 11), ('Protect', 22), ('Psych Up', 1), ('Quick Attack', 28), ('Rain Dance', 1), ('Razor Wind', 3), ('Rest', 1), ('Return', 14), ('Rock Slide', 31), ('Rock Smash', 2), ('Scratch', 1), ('Shadow Ball', 139), ('Slash', 9), ('Snatch', 1), ('Spite', 2), ('Struggle', 1), ('Substitute', 46), ('Sunny Day', 1), ('Swagger', 5), ('Swift', 1), ('Swords Dance', 168), ('Taunt', 43), ('Thief', 5), ('Thunder', 5), ('Thunder Wave', 18), ('Thunderbolt', 27), ('Torment', 2), ('Toxic', 10), ('Wish', 8)]",29.199372056514918,0.326792324252327,359,Dark,,465.0,65.0,130.0,60.0,75.0,60.0,75.0
Absol,[Gen 3] UBERS,51,15,36,"[('Aerial Ace', 2), ('Baton Pass', 3), ('Bite', 7), ('Blizzard', 4), ('Body Slam', 1), ('Double-Edge', 1), ('Facade', 2), ('Fire Blast', 1), ('Flamethrower', 4), ('Frustration', 2), ('Hidden Power', 4), ('Hyper Beam', 2), ('Ice Beam', 4), ('Iron Tail', 1), ('Perish Song', 6), ('Quick Attack', 1), ('Razor Wind', 2), ('Return', 2), ('Shadow Ball', 21), ('Slash', 4), ('Strength', 3), ('Substitute', 4), ('Swords Dance', 19), ('Taunt', 2), ('Thunder Wave', 3), ('Thunderbolt', 4), ('Water Pulse', 1), ('Wish', 1)]",29.411764705882355,0.6855760182820272,359,Dark,,465.0,65.0,130.0,60.0,75.0,60.0,75.0
Absol,[Gen 3] UU,67,18,49,"[('Aerial Ace', 1), ('Baton Pass', 10), ('Bite', 2), ('Blizzard', 2), ('Body Slam', 5), ('Calm Mind', 4), ('Counter', 1), ('Curse', 1), ('Double-Edge', 5), ('Fire Blast', 2), ('Flamethrower', 3), ('Hidden Power', 6), ('Hyper Beam', 1), ('Ice Beam', 6), ('Return', 2), ('Rock Slide', 2), ('Shadow Ball', 14), ('Slash', 1), ('Substitute', 9), ('Swords Dance', 25), ('Taunt', 3), ('Thunder Wave', 1), ('Thunderbolt', 6), ('Toxic', 2)]",26.865671641791046,2.619233776387803,359,Dark,,465.0,65.0,130.0,60.0,75.0,60.0,75.0
Absol,[Gen 4] NU,4,2,2,"[('Night Slash', 2), ('Sucker Punch', 2), ('Superpower', 1), ('Swords Dance', 1)]",50.0,0.19665683382497542,359,Dark,,465.0,65.0,130.0,60.0,75.0,60.0,75.0
Absol,[Gen 4] OU,661,243,420,"[('Aerial Ace', 1), ('Attract', 2), ('Baton Pass', 3), ('Bite', 1), ('Blizzard', 4), ('Body Slam', 1), ('Bounce', 1), ('Calm Mind', 2), ('Counter', 1), ('Dark Pulse', 4), ('Detect', 5), ('Double-Edge', 1), ('Dynamic Punch', 1), ('Feint Attack', 4), ('Fire Blast', 18), ('Flamethrower', 9), ('Frustration', 1), ('Giga Impact', 1), ('Ice Beam', 9), ('Knock Off', 5), ('Magic Coat', 1), ('Me First', 3), ('Mean Look', 1), ('Megahorn', 13), ('Mirror Coat', 1), ('Night Slash', 187), ('Perish Song', 3), ('Protect', 4), ('Psycho Cut', 53), ('Pursuit', 29), ('Quick Attack', 3), ('Rain Dance', 1), ('Rock Slide', 9), ('Shadow Ball', 1), ('Shadow Claw', 4), ('Shock Wave', 1), ('Slash', 5), ('Snatch', 1), ('Stone Edge', 25), ('Substitute', 22), ('Sucker Punch', 276), ('Superpower', 139), ('Swords Dance', 166), ('Taunt', 10), ('Thunder', 1), ('Thunder Wave', 5), ('Thunderbolt', 4), ('Toxic', 3), ('Will-O-Wisp', 3), ('Wish', 2), ('Zen Headbutt', 3)]",36.65158371040724,0.3856048629381807,359,Dark,,465.0,65.0,130.0,60.0,75.0,60.0,75.0
Absol,[Gen 4] UBERS,95,34,63,"[('Baton Pass', 7), ('Bite', 2), ('Body Slam', 1), ('Calm Mind', 3), ('Charge Beam', 1), ('Detect', 1), ('Endure', 1), ('Feint Attack', 2), ('Flamethrower', 1), ('Future Sight', 1), ('Giga Impact', 1), ('Ice Beam', 3), ('Megahorn', 1), ('Night Slash', 28), ('Psycho Cut', 3), ('Pursuit', 12), ('Quick Attack', 5), ('Return', 5), ('Rock Slide', 5), ('Stone Edge', 1), ('Substitute', 4), ('Sucker Punch', 18), ('Superpower', 5), ('Swords Dance', 18), ('Taunt', 5), ('Thunder Wave', 3), ('Will-O-Wisp', 3), ('Wish', 1), ('X-Scissor', 3), ('Zen Headbutt', 2)]",35.051546391752574,0.6945459862553005,359,Dark,,465.0,65.0,130.0,60.0,75.0,60.0,75.0
Absol,[Gen 4] UU,455,209,271,"[('Aerial Ace', 1), ('Baton Pass', 5), ('Blizzard', 1), ('Bounce', 1), ('Calm Mind', 2), ('Counter', 1), ('Dark Pulse', 7), ('Double-Edge', 1), ('Facade', 1), ('Fire Blast', 7), ('Flamethrower', 1), ('Ice Beam', 3), ('Iron Tail', 1), ('Knock Off', 5), ('Mean Look', 1), ('Megahorn', 14), ('Night Slash', 171), ('Perish Song', 2), ('Protect', 2), ('Psycho Cut', 31), ('Pursuit', 59), ('Return', 2), ('Shadow Ball', 1), ('Shadow Claw', 2), ('Stone Edge', 6), ('Substitute', 1), ('Sucker Punch', 191), ('Superpower', 126), ('Swords Dance', 139), ('Taunt', 4), ('Thunder Wave', 3), ('Thunderbolt', 1), ('Zen Headbutt', 3)]",43.541666666666664,6.393143178305466,359,Dark,,465.0,65.0,130.0,60.0,75.0,60.0,75.0
Absol-Mega,[Gen 9] OU,2,1,1,"[('Ceaseless Edge', 2), ('U-Turn', 1), ('Wicked Blow', 2)]",50.0,0.00015553236395195294,359-mega,Dark,,565.0,65.0,150.0,60.0,115.0,60.0,115.0
Accelgor,[Gen 9] OU,1,1,0,"[('Bug Buzz', 1), ('Sludge Bomb', 1), ('U-Turn', 1)]",100.0,7.776618197597647e-05,617,Bug,,495.0,80.0,70.0,40.0,100.0,60.0,145.0
Aegislash,[Gen 9] OU,21,13,9,"[('Flash Cannon', 1), ('Iron Head', 2), (""King'S Shield"", 4), ('Make It Rain', 7), ('Milk Drink', 5), ('Pursuit', 1), ('Secret Sword', 10), ('Shadow Claw', 3), ('Shadow Sneak', 6), ('Substitute', 1), ('Swords Dance', 2), ('Tail Glow', 8), ('Toxic', 1)]",59.09090909090909,0.0016330898214955058,681,Steel,Ghost,500.0,60.0,50.0,140.0,50.0,140.0,60.0
Aerodactyl,[Gen 1] NU,626,337,426,"[('Agility', 11), ('Double-Edge', 474), ('Dragon Rage', 1), ('Drill Peck', 1), ('Fire Blast', 200), ('Hyper Beam', 287), ('Reflect', 9), ('Rest', 102), ('Sky Attack', 193), ('Substitute', 120), ('Supersonic', 2), ('Toxic', 90), ('Wing Attack', 3)]",44.167758846657925,28.02148612354521,142,Rock,Flying,515.0,80.0,105.0,65.0,60.0,75.0,130.0
Aerodactyl,[Gen 1] OU,1266,417,863,"[('Agility', 56), ('Bide', 4), ('Bite', 48), ('Body Slam', 1), ('Double-Edge', 409), ('Dragon Rage', 32), ('Drill Peck', 6), ('Earthquake', 4), ('Explosion', 1), ('Fire Blast', 361), ('Fly', 2), ('Hyper Beam', 514), ('Hypnosis', 1), ('Ice Beam', 1), ('Mimic', 24), ('Mirror Move', 1), ('Rage', 4), ('Razor Leaf', 1), ('Razor Wind', 7), ('Recover', 1), ('Reflect', 85), ('Rest', 69), ('Rock Slide', 18), ('Seismic Toss', 1), ('Sky Attack', 385), ('Slash', 1), ('Substitute', 115), ('Supersonic', 47), ('Swift', 6), ('Swords Dance', 1), ('Take Down', 9), ('Thunder', 1), ('Thunderbolt', 1), ('Toxic', 78), ('Whirlwind', 13), ('Wing Attack', 55)]",32.578125,1.4681835577357967,142,Rock,Flying,515.0,80.0,105.0,65.0,60.0,75.0,130.0
Aerodactyl,[Gen 1] UBERS,141,53,95,"[('Agility', 16), ('Bite', 4), ('Double-Edge', 41), ('Dragon Rage', 3), ('Drill Peck', 1), ('Earthquake', 2), ('Fire Blast', 42), ('Guillotine', 1), ('High Jump Kick', 4), ('Hyper Beam', 28), ('Mimic', 2), ('Quick Attack', 2), ('Reflect', 32), ('Rest', 25), ('Rock Slide', 1), ('Seismic Toss', 7), ('Sky Attack', 19), ('Spore', 8), ('Substitute', 4), ('Supersonic', 10), ('Swift', 3), ('Swords Dance', 1), ('Take Down', 9), ('Thunder Wave', 1), ('Toxic', 6), ('Whirlwind', 2), ('Wing Attack', 3)]",35.810810810810814,3.732133403917417,142,Rock,Flying,515.0,80.0,105.0,65.0,60.0,75.0,130.0
Aerodactyl,[Gen 1] UU,207,91,125,"[('Agility', 4), ('Bide', 1), ('Bite', 3), ('Double-Edge', 126), ('Dragon Rage', 4), ('Fire Blast', 79), ('Hyper Beam', 90), ('Reflect', 8), ('Rest', 13), ('Sky Attack', 24), ('Substitute', 13), ('Supersonic', 2), ('Take Down', 2), ('Toxic', 20), ('Whirlwind', 1), ('Wing Attack', 1)]",42.129629629629626,7.416696524543174,142,Rock,Flying,515.0,80.0,105.0,65.0,60.0,75.0,130.0
Aerodactyl,[Gen 2] OU,1070,487,607,"[('Aeroblast', 7), ('Agility', 4), ('Ancient Power', 391), ('Attract', 1), ('Bite', 7), ('Curse', 103), ('Detect', 4), ('Double-Edge', 19), ('Dragon Breath', 6), ('Dragon Rage', 1), ('Earthquake', 532), ('Fire Blast', 133), ('Flamethrower', 41), ('Fly', 26), ('Frustration', 1), ('Headbutt', 3), ('Hidden Power', 360), ('Hyper Beam', 25), ('Iron Tail', 4), ('Mimic', 2), ('Protect', 8), ('Pursuit', 8), ('Reflect', 132), ('Rest', 78), ('Return', 7), ('Roar', 49), ('Rock Slide', 4), ('Rock Smash', 1), ('Rock Throw', 3), ('Sandstorm', 3), ('Sky Attack', 18), ('Sleep Talk', 11), ('Steel Wing', 8), ('Substitute', 64), ('Supersonic', 3), ('Swagger', 6), ('Swift', 2), ('Swords Dance', 1), ('Toxic', 60), ('Whirlwind', 143), ('Wing Attack', 120)]",44.515539305301644,2.484616277719726,142,Rock,Flying,515.0,80.0,105.0,65.0,60.0,75.0,130.0
Aerodactyl,[Gen 2] UBERS,45,24,21,"[('Agility', 3), ('Ancient Power', 20), ('Attract', 1), ('Curse', 4), ('Double-Edge', 1), ('Earthquake', 16), ('Encore', 4), ('Explosion', 1), ('Extreme Speed', 2), ('Hidden Power', 10), ('High Jump Kick', 1), ('Horn Drill', 1), ('Hyper Beam', 2), ('Iron Tail', 1), ('Megahorn', 2), ('Pursuit', 1), ('Rest', 2), ('Return', 1), ('Rock Slide', 6), ('Rock Throw', 1), ('Seismic Toss', 1), ('Shadow Ball', 1), ('Sky Attack', 1), ('Spore', 8), ('Substitute', 6), ('Swagger', 1), ('Swords Dance', 4), ('Toxic', 2), ('Whirlwind', 2), ('Wing Attack', 6)]",53.333333333333336,1.851090086384204,142,Rock,Flying,515.0,80.0,105.0,65.0,60.0,75.0,130.0
Aerodactyl,[Gen 2] UU,143,90,77,"[('Ancient Power', 21), ('Curse', 41), ('Double-Edge', 2), ('Earthquake', 85), ('Fire Blast', 3), ('Hidden Power', 99), ('Protect', 27), ('Reflect', 5), ('Rest', 18), ('Return', 1), ('Roar', 21), ('Sandstorm', 2), ('Sleep Talk', 3), ('Substitute', 3), ('Swagger', 4), ('Toxic', 9), ('Whirlwind', 19), ('Wing Attack', 2)]",53.89221556886228,7.114427860696518,142,Rock,Flying,515.0,80.0,105.0,65.0,60.0,75.0,130.0
Aerodactyl,[Gen 3] OU,50022,25089,29067,"[('Aerial Ace', 538), ('Aeroblast', 21), ('Agility', 25), ('Ancient Power', 963), ('Attract', 9), ('Bite', 5), ('Brave Bird', 1), ('Curse', 109), ('Double-Edge', 17533), ('Dragon Breath', 10), ('Dragon Claw', 121), ('Drill Peck', 1), ('Earthquake', 17528), ('Endure', 50), ('Facade', 15), ('Fire Blast', 136), ('Flamethrower', 156), ('Fly', 81), ('Frustration', 7), ('Hidden Power', 11983), ('Hyper Beam', 35), ('Iron Tail', 18), ('Mimic', 2), ('Protect', 365), ('Pursuit', 40), ('Rain Dance', 12), ('Rest', 36), ('Return', 27), ('Roar', 134), ('Rock Slide', 28183), ('Rock Smash', 1), ('Rock Tomb', 11), ('Sandstorm', 5), ('Scary Face', 1), ('Secret Power', 3), ('Sky Attack', 77), ('Sleep Talk', 17), ('Steel Wing', 27), ('Strength', 1), ('Struggle', 138), ('Substitute', 3945), ('Sunny Day', 14), ('Supersonic', 5), ('Swagger', 29), ('Take Down', 3), ('Taunt', 401), ('Thief', 41), ('Torment', 21), ('Toxic', 384), ('Whirlwind', 142), ('Wing Attack', 60)]",46.32727675603811,25.824337509873462,142,Rock,Flying,515.0,80.0,105.0,65.0,60.0,75.0,130.0
Aerodactyl,[Gen 3] UBERS,517,263,271,"[('Aerial Ace', 8), ('Ancient Power', 27), ('Bite', 1), ('Curse', 2), ('Double-Edge', 176), ('Dragon Claw', 10), ('Earthquake', 114), ('Facade', 1), ('Fire Blast', 8), ('Flamethrower', 3), ('Fly', 16), ('Frustration', 2), ('Hidden Power', 74), ('Hyper Beam', 4), ('Iron Tail', 1), ('Protect', 11), ('Pursuit', 3), ('Return', 1), ('Roar', 1), ('Rock Slide', 235), ('Rock Smash', 1), ('Sandstorm', 1), ('Scary Face', 1), ('Sky Attack', 4), ('Steel Wing', 3), ('Substitute', 6), ('Supersonic', 1), ('Swagger', 4), ('Take Down', 2), ('Taunt', 4), ('Torment', 3), ('Toxic', 7), ('Whirlwind', 1), ('Wing Attack', 5)]",49.250936329588015,6.949858851996236,142,Rock,Flying,515.0,80.0,105.0,65.0,60.0,75.0,130.0
Aerodactyl,[Gen 4] OU,19297,9499,10446,"[('Aerial Ace', 361), ('Agility', 15), ('Air Cutter', 1), ('Ancient Power', 17), ('Aqua Tail', 97), ('Bite', 1), ('Brave Bird', 10), ('Charge Beam', 1), ('Crunch', 371), ('Curse', 12), ('Defog', 23), ('Double-Edge', 405), ('Dragon Breath', 5), ('Dragon Claw', 82), ('Dragon Pulse', 30), ('Earth Power', 14), ('Earthquake', 7018), ('Endure', 1), ('Fire Blast', 74), ('Fire Fang', 148), ('Flamethrower', 106), ('Fly', 57), ('Giga Impact', 2), ('Head Smash', 8), ('Heat Wave', 6), ('Hidden Power', 21), ('Hyper Beam', 3), ('Ice Fang', 186), ('Iron Head', 51), ('Iron Tail', 7), ('Mimic', 1), ('Natural Gift', 3), ('Payback', 1), ('Protect', 48), ('Pursuit', 87), ('Rain Dance', 28), ('Rest', 6), ('Roar', 36), ('Rock Polish', 6), ('Rock Slide', 2123), ('Rock Smash', 2), ('Rock Tomb', 55), ('Roost', 1098), ('Sky Attack', 879), ('Sleep Talk', 6), ('Stealth Rock', 11775), ('Steel Wing', 2), ('Stone Edge', 6304), ('Struggle', 8), ('Substitute', 431), ('Sunny Day', 29), ('Swagger', 2), ('Tailwind', 71), ('Take Down', 1), ('Taunt', 7288), ('Thief', 2), ('Thunder Fang', 36), ('Torment', 2), ('Toxic', 131), ('Whirlwind', 42), ('Wing Attack', 22)]",47.62597142140888,11.257211860995572,142,Rock,Flying,515.0,80.0,105.0,65.0,60.0,75.0,130.0
